id,a
0,0.6
1,0.02
2,0.01
3,0.0
4,0.02
5,0.0
6,0.25
7,0.57
8,0.0
9,0.0
10,0.05
11,0.0
12,0.26
13,0.03
14,0.03
15,0.0
16,0.23
17,0.0
18,0.01
19,0.09
20,0.0
21,0.0
22,0.01
23,0.0
24,0.0
25,0.11
26,0.01
27,0.02
28,0.01
29,0.04
30,0.08
31,0.01
32,0.02
33,0.0
34,0.06
35,0.02
36,0.01
37,0.01
38,0.0
39,0.0
40,0.01
41,0.14
42,0.0
43,0.14
44,0.1
45,0.1
46,0.05
47,0.0
48,0.03
49,0.02
50,0.04
51,0.65
52,0.0
53,0.0
54,0.11
55,0.0
56,0.01
57,0.05
58,0.0
59,0.01
60,0.01
61,0.12
62,0.0
63,0.05
64,0.06
65,0.07
66,0.0
67,0.02
68,0.01
69,0.0
70,0.04
71,0.02
72,0.0
73,0.0
74,0.0
75,0.04
76,0.24
77,0.07
78,0.0
79,0.01
80,0.0
81,0.08
82,0.02
83,0.0
84,0.0
85,0.03
86,0.01
87,0.07
88,0.0
89,0.01
90,0.03
91,0.0
92,0.01
93,0.24666666666666667
94,0.08
95,0.01
96,0.05
97,0.01
98,0.0
99,0.05
100,0.01
101,0.16
102,0.0
103,0.08
104,0.01
105,0.17
106,0.01
107,0.01
108,0.03
109,0.06
110,0.0
111,0.07
112,0.13
113,0.01
114,0.0
115,0.03
116,0.54
117,0.0
118,0.0
119,0.02
120,0.04
121,0.05
122,0.02
123,0.02
124,0.02
125,0.0
126,0.02
127,0.42
128,0.02
129,0.0
130,0.35
131,0.0
132,0.1
133,0.01
134,0.01
135,0.01
136,0.02
137,0.03
138,0.0
139,0.0
140,0.01
141,0.02
142,0.01
143,0.01
144,0.05
145,0.07
146,0.44
147,0.0
148,0.02
149,0.0
150,0.0
151,0.0
152,0.0
153,0.04
154,0.01
155,0.15
156,0.01
157,0.0
158,0.0
159,0.01
160,0.0
161,0.14
162,0.06
163,0.01
164,0.08
165,0.04
166,0.08
167,0.02
168,0.04
169,0.03
170,0.64
171,0.0
172,0.0
173,0.04
174,0.07
175,0.01
176,0.01
177,0.39
178,0.17
179,0.01
180,0.39
181,0.02
182,0.04
183,0.0
184,0.0
185,0.0
186,0.0
187,0.02
188,0.0
189,0.01
190,0.01
191,0.01
192,0.07
193,0.35
194,0.0
195,0.0
196,0.0
197,0.04
198,0.08
199,0.03
200,0.02
201,0.0
202,0.0
203,0.01
204,0.14
205,0.02
206,0.0
207,0.39
208,0.05
209,0.07
210,0.0
211,0.01
212,0.02
213,0.0
214,0.63
215,0.27
216,0.04
217,0.01
218,0.09
219,0.01
220,0.04
221,0.08
222,0.01
223,0.01
224,0.01
225,0.0
226,0.02
227,0.0
228,0.02
229,0.01
230,0.01
231,0.04
232,0.0
233,0.03
234,0.02
235,0.04
236,0.0
237,0.0
238,0.02
239,0.63
240,0.0
241,0.01
242,0.03
243,0.01
244,0.03
245,0.04
246,0.0
247,0.01
248,0.02
249,0.08
250,0.11
251,0.07
252,0.01
253,0.0
254,0.01
255,0.0
256,0.01
257,0.0
258,0.0
259,0.03
260,0.06
261,0.01
262,0.11
263,0.01
264,0.02
265,0.04
266,0.0
267,0.02
268,0.0
269,0.04
270,0.04
271,0.0
272,0.04
273,0.03
274,0.04
275,0.0
276,0.0
277,0.41
278,0.2
279,0.0
280,0.02
281,0.04
282,0.0
283,0.0
284,0.37
285,0.28
286,0.11
287,0.03
288,0.0
289,0.0
290,0.0
291,0.05
292,0.01
293,0.04
294,0.01
295,0.06
296,0.0
297,0.0
298,0.01
299,0.0
300,0.0
301,0.24
302,0.3
303,0.37
304,0.23
305,0.04
306,0.25
307,0.01
308,0.01
309,0.0
310,0.08
311,0.0
312,0.27
313,0.03
314,0.01
315,0.05
316,0.03
317,0.04
318,0.01
319,0.38
320,0.01
321,0.1
322,0.02
323,0.02
324,0.01
325,0.0
326,0.16
327,0.0
328,0.0
329,0.01
330,0.02
331,0.0
332,0.02
333,0.0
334,0.01
335,0.11
336,0.0
337,0.0
338,0.11
339,0.0
340,0.09
341,0.02
342,0.02
343,0.01
344,0.11
345,0.0
346,0.0
347,0.51
348,0.0
349,0.0
350,0.02
351,0.07
352,0.05
353,0.01
354,0.16
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.01
362,0.33
363,0.02
364,0.2
365,0.03
366,0.02
367,0.0
368,0.0
369,0.0
370,0.61
371,0.0
372,0.02
373,0.01
374,0.0
375,0.0
376,0.56
377,0.21
378,0.02
379,0.0
380,0.01
381,0.02
382,0.12
383,0.0
384,0.02
385,0.13
386,0.0
387,0.0
388,0.04
389,0.04
390,0.03
391,0.04
392,0.0
393,0.16
394,0.28
395,0.0
396,0.0
397,0.02
398,0.01
399,0.31
400,0.06
401,0.0
402,0.0
403,0.0
404,0.08
405,0.15
406,0.02
407,0.03
408,0.01
409,0.0
410,0.68325
411,0.01
412,0.01
413,0.01
414,0.0
415,0.34
416,0.01
417,0.0
418,0.05
419,0.03
420,0.46
421,0.22
422,0.03
423,0.07
424,0.0
425,0.0
426,0.08
427,0.07
428,0.0
429,0.0
430,0.0
431,0.02
432,0.17
433,0.0
434,0.1
435,0.0
436,0.06
437,0.0
438,0.0
439,0.07
440,0.09
441,0.01
442,0.0
443,0.02
444,0.04
445,0.03
446,0.13
447,0.01
448,0.01
449,0.01
450,0.25
451,0.01
452,0.03
453,0.14
454,0.02
455,0.01
456,0.0
457,0.0
458,0.21
459,0.05
460,0.03
461,0.0
462,0.05
463,0.57
